,0
0,https://www.youtube.com/channel/UCw0leRmeaX7R_9BDd3TvCzg
1,https://www.youtube.com/watch?v=cGxN_BpUuDE
2,https://www.youtube.com/watch?v=LX5sBHUxYf0
3,https://www.youtube.com/watch?v=q2obBQHxfp8
4,https://www.youtube.com/watch?v=JqAvXbvO6-k
5,https://www.youtube.com/watch?v=jj6Nb8rY200
6,https://www.youtube.com/watch?v=rj0pcM59ktQ
7,https://www.youtube.com/watch?v=7SUHaxOfYeQ
8,https://www.youtube.com/watch?v=eHU2PeWiDRY
9,https://www.youtube.com/watch?v=79Ue_p6k9E4
10,https://www.youtube.com/watch?v=EoNbP6jUkvs
11,https://www.youtube.com/watch?v=45JpMj8kQDU
12,https://www.youtube.com/watch?v=a-coaEgraHo
13,https://www.youtube.com/watch?v=3UmZOXzJZ8k
14,https://www.youtube.com/watch?v=UESHZoNwmg8
15,https://www.youtube.com/watch?v=ZmGUSFn0XDw
16,https://www.youtube.com/watch?v=B93ltqICO1g
17,https://www.youtube.com/watch?v=QbcWEomeEQk
18,https://www.youtube.com/watch?v=IKqoAfUmCGw
19,https://www.youtube.com/watch?v=uWmg5UhBVpA
20,https://www.youtube.com/watch?v=C2O1Cupj74Y
21,https://www.youtube.com/watch?v=16LavpGaiLg
22,https://www.youtube.com/watch?v=fYBznU83TtI
23,https://www.youtube.com/watch?v=7AnH8hOWHZY
24,https://www.youtube.com/watch?v=zcWnsnamKjA
25,https://www.youtube.com/watch?v=H3bXwFQZG5s
26,https://www.youtube.com/watch?v=S533kchP9Cc
27,https://www.youtube.com/watch?v=Dj8EhApZORA
28,https://www.youtube.com/watch?v=Xm4kf39qvc8
29,https://www.youtube.com/watch?v=DRsw1IeQITI
30,https://www.youtube.com/watch?v=YNEJjvjOdoU
31,https://www.youtube.com/watch?v=ypshhXb2_fA
32,https://www.youtube.com/watch?v=HKPnQsI3o8A
33,https://www.youtube.com/watch?v=E53IUF_Nvtc
34,https://www.youtube.com/watch?v=5V80LvD92is
35,https://www.youtube.com/watch?v=vlYKGk0pV8E
36,https://www.youtube.com/watch?v=zLusCsJQFyQ
37,https://www.youtube.com/watch?v=PPmu-nOR0_8
38,https://www.youtube.com/watch?v=EZ0Z65vn53A
39,https://www.youtube.com/watch?v=_cgoRp9svus
40,https://www.youtube.com/watch?v=4OUuI-T53VU
41,https://www.youtube.com/watch?v=0oVNkN4D9no
42,https://www.youtube.com/watch?v=Ul3HLGwVREg
43,https://www.youtube.com/watch?v=6GORsE9QJvA
44,https://www.youtube.com/watch?v=k7UXCRRHruU
45,https://www.youtube.com/watch?v=vYjwWuk2fCY
46,https://www.youtube.com/watch?v=OK2YZjdYMKk
47,https://www.youtube.com/watch?v=jAcHN4bAay0
48,https://www.youtube.com/watch?v=fTQQLGf4DSc
